"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"322","Zotu323","None","None",NA,NA,NA,NA,NA,NA,NA
"323","Zotu324","None","None",NA,NA,NA,NA,NA,NA,NA
"324","Zotu325","None","None",NA,NA,NA,NA,NA,NA,NA
"325","Zotu326","None","None",NA,NA,NA,NA,NA,NA,NA
"326","Zotu327","None","None",NA,NA,NA,NA,NA,NA,NA
"327","Zotu328","None","None",NA,NA,NA,NA,NA,NA,NA
"328","Zotu329","None","None",NA,NA,NA,NA,NA,NA,NA
"329","Zotu330","None","None",NA,NA,NA,NA,NA,NA,NA
"330","Zotu331","None","None",NA,NA,NA,NA,NA,NA,NA
"331","Zotu332","High","650517","Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Lithophyllaceae","Amphiroa","Amphiroa beauvoisii"
"332","Zotu333","None","None",NA,NA,NA,NA,NA,NA,NA
